runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
kelheim;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
kelheim;1;38;330.55;1041;839.6;385.5;322.5;94.74;97.37;371.16;4162.59;3671.27;701.71;2.21;3;0.07
kelheim;2;80;419.64;1197;944.05;571.25;348.5;77.5;93.75;442.4;4665.46;3375.62;862.04;2.25;8;0.09
kelheim;3;107;454.39;1260;1070.6;647;368;72.9;91.59;436.57;4513.79;3286.81;890.96;2.24;7;0.06
kelheim;4;135;586.9;1309;1187.2;827;500;57.04;78.52;521.49;5133.73;3408.87;1108.39;2.24;11;0.08
kelheim;5;154;533.87;1307;1151.5;824.25;433.5;59.74;80.52;531.01;5164.46;3266.27;1064.88;2.25;11;0.07
kelheim;6;157;593.29;1301;1176.8;829.5;592;51.59;80.25;508.82;4901.67;3228.01;1102.11;2.24;14;0.08
kelheim;7;157;563.17;1305;1184.8;876.5;466;61.78;77.71;526.75;5157.5;3374.16;1089.92;2.27;24;0.13
kelheim;8;164;604.23;1277;1165.75;929.75;539;53.05;73.17;487.02;4841.78;3342.76;1091.26;2.27;22;0.12
kelheim;9;166;626.34;1347;1201.35;973.75;577.5;52.41;71.08;474.72;4556.45;3134.47;1101.06;2.24;19;0.1
kelheim;10;163;582.79;1202;1120.2;859;528;57.67;76.69;507.32;4998.8;3176.94;1090.1;2.2;22;0.12
kelheim;11;172;611.11;1264;1158.45;915.75;609.5;49.42;74.42;502.26;4797.86;3188.6;1113.37;2.17;27;0.14
kelheim;12;173;643.82;1314;1176;958.5;620;49.13;69.94;483.66;4723.92;3313.2;1127.49;2.2;33;0.16
kelheim;13;183;655.68;1262;1191;999;625;48.63;68.85;504.67;5012.34;3266.74;1160.35;2.23;36;0.16
kelheim;14;175;631.44;1323;1183.8;1001;568;53.71;70.29;507.11;4983.78;3290.7;1138.55;2.23;24;0.12
kelheim;15;179;638.39;1238;1187;936;643;46.37;68.72;517.45;5221.21;3524.1;1155.83;2.24;20;0.1
kelheim;16;165;642.47;1288;1186.1;913;600;49.09;73.94;530.36;5262.12;3511.76;1172.83;2.26;22;0.12
kelheim;17;167;617.9;1216;1175.4;952;551;52.69;73.65;574.87;5620.9;3686.57;1192.77;2.25;28;0.14
kelheim;18;174;606.35;1279;1162.75;880.75;598.5;50;77.01;571.98;5400.15;3488.05;1178.33;2.24;29;0.14
